industry,name,quoteType,sector,symbol
Shell Companies,World Quantum Growth Acquisitio,EQUITY,Financial Services,WQGA
Beverages—Wineries & Distilleries,EWORLD COMPANIES INC,EQUITY,Consumer Defensive,EWRC
Software—Application,OMNIQ Corp.,EQUITY,Technology,OMQS
Oil & Gas E&P,PETRO RIVER OIL CORPORATION,EQUITY,Energy,PTRC
Communication Equipment,ERF WIRELESS INC,EQUITY,Technology,ERFB
Asset Management,CION Investment Corporation,EQUITY,Financial Services,CION
Other Precious Metals & Mining,"Gatos Silver, Inc.",EQUITY,Basic Materials,GATO
Biotechnology,Aptinyx Inc.,EQUITY,Healthcare,APTX
Biotechnology,Reviva Pharmaceuticals Holdings,EQUITY,Healthcare,RVPH
Biotechnology,"Ensysce Biosciences, Inc.",EQUITY,Healthcare,ENSC
Medical Devices,"Lucira Health, Inc.",EQUITY,Healthcare,LHDX
Shell Companies,Frontier Investment Corp,EQUITY,Financial Services,FICV
Software—Infrastructure,"Bridgeline Digital, Inc.",EQUITY,Technology,BLIN
Biotechnology,"PMV Pharmaceuticals, Inc.",EQUITY,Healthcare,PMVP
Aluminum,Constellium SE,EQUITY,Basic Materials,CSTM
Specialty Retail,Tractor Supply Company,EQUITY,Consumer Cyclical,TSCO
Drug Manufacturers—Specialty & Generic,Redhill Biopharma Ltd.,EQUITY,Healthcare,RDHL
Farm & Heavy Construction Machinery,PACCAR Inc.,EQUITY,Industrials,PCAR
Drug Manufacturers—Specialty & Generic,Biofrontera Inc.,EQUITY,Healthcare,BFRI
Food Distribution,SpartanNash Company,EQUITY,Consumer Defensive,SPTN
Software—Application,AGM Group Holdings Inc.,EQUITY,Technology,AGMH
Pharmaceutical Retailers,DECISION DIAGNOSTICS CORP,EQUITY,Healthcare,DECN
Biotechnology,"Timber Pharmaceuticals, Inc.",EQUITY,Healthcare,TMBR
Biotechnology,"Aptose Biosciences, Inc.",EQUITY,Healthcare,APTO
Drug Manufacturers—Specialty & Generic,LotusVentures,EQUITY,Healthcare,J.CN
Advertising Agencies,"SRAX, Inc.",EQUITY,Communication Services,SRAX
Beverages—Wineries & Distilleries,VIVA WORLD TRADE INC,EQUITY,Consumer Defensive,VVWT
Shell Companies,Iron Spark I Inc.,EQUITY,Financial Services,ISAA
Entertainment,"Dolphin Entertainment, Inc.",EQUITY,Communication Services,DLPN
Communication Equipment,Lumentum Holdings Inc.,EQUITY,Technology,LITE
Biotechnology,CYTRX CORP,EQUITY,Healthcare,CYTR
Banks—Regional,CMUV BANCORP,EQUITY,Financial Services,CMUV
Security & Protection Services,"NAPCO Security Technologies, In",EQUITY,Industrials,NSSC
Shell Companies,Hudson Executive Investment Cor,EQUITY,Financial Services,HIII
Shell Companies,Post Holdings Partnering Corpor,EQUITY,Financial Services,PSPC
Medical Care Facilities,"Option Care Health, Inc.",EQUITY,Healthcare,OPCH
Capital Markets,"Marathon Digital Holdings, Inc.",EQUITY,Financial Services,MARA
Software—Application,"Blackbaud, Inc.",EQUITY,Technology,BLKB
Oil & Gas Midstream,Equitrans Midstream Corporation,EQUITY,Energy,ETRN
Biotechnology,"Finch Therapeutics Group, Inc.",EQUITY,Healthcare,FNCH
Staffing & Employment Services,"Hudson Global, Inc.",EQUITY,Industrials,HSON
Packaged Foods,"BellRing Brands, Inc.",EQUITY,Consumer Defensive,BRBR
Semiconductors,Rockley Photonics Holdings Limi,EQUITY,Technology,RKLY
Asset Management,ENTERPRISE DIVERSIFIED INC,EQUITY,Financial Services,SYTE
Semiconductors,"Wolfspeed, Inc.",EQUITY,Technology,WOLF
Oil & Gas E&P,Crescent Energy Company,EQUITY,Energy,CRGY
Biotechnology,MannKind Corporation,EQUITY,Healthcare,MNKD
